                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.61319,                0.59693,                  1.066,                 0.9295,                0.86569,                0.93139,                0.80898,                0.46651,                0.36659,                0.97551,              0.0068716,              0.0068716,              0.0068716
                     82,                0.61315,                0.59432,                 1.0657,                   0.93,                0.86566,                0.93162,                 0.8088,                0.46618,                0.36613,                0.97501,               0.006832,               0.006832,               0.006832
                     83,                0.61426,                0.59407,                 1.0677,                0.93202,                0.86551,                0.93214,                 0.8093,                0.46579,                0.36615,                0.97461,              0.0067924,              0.0067924,              0.0067924
                     84,                0.60918,                0.59119,                 1.0643,                0.93325,                0.86643,                0.93204,                0.80856,                0.46575,                0.36572,                0.97462,              0.0067528,              0.0067528,              0.0067528
                     85,                0.61116,                0.59303,                 1.0641,                0.93265,                0.86722,                0.93191,                0.80958,                 0.4655,                 0.3651,                 0.9744,              0.0067132,              0.0067132,              0.0067132
                     86,                0.60922,                0.59043,                 1.0641,                0.93181,                0.86408,                0.93212,                0.81015,                0.46533,                0.36462,                 0.9742,              0.0066736,              0.0066736,              0.0066736
                     87,                 0.6114,                0.59625,                 1.0674,                0.92397,                0.87024,                0.93221,                0.81118,                0.46496,                0.36425,                0.97391,               0.006634,               0.006634,               0.006634
                     88,                 0.6108,                0.59046,                 1.0663,                0.92113,                0.87435,                0.93241,                0.81263,                0.46475,                0.36359,                 0.9737,              0.0065944,              0.0065944,              0.0065944
                     89,                0.60921,                0.58317,                 1.0635,                0.92133,                0.87488,                0.93279,                0.81366,                0.46417,                0.36305,                0.97352,              0.0065548,              0.0065548,              0.0065548
                     90,                0.60672,                0.58301,                 1.0628,                0.92103,                0.87542,                 0.9329,                0.81448,                0.46392,                0.36208,                 0.9734,              0.0065152,              0.0065152,              0.0065152
                     91,                0.61016,                0.58967,                 1.0663,                0.92257,                0.87472,                0.93318,                0.81467,                0.46383,                0.36174,                0.97322,              0.0064756,              0.0064756,              0.0064756
                     92,                 0.6069,                0.58658,                 1.0632,                0.92395,                0.87442,                0.93373,                0.81564,                0.46402,                0.36097,                 0.9733,               0.006436,               0.006436,               0.006436
                     93,                0.60913,                0.58841,                 1.0662,                 0.9245,                0.87588,                0.93414,                0.81557,                0.46368,                0.36059,                0.97294,              0.0063964,              0.0063964,              0.0063964
                     94,                 0.6075,                0.58229,                  1.063,                0.92479,                 0.8755,                0.93423,                 0.8159,                0.46334,                0.36035,                0.97262,              0.0063568,              0.0063568,              0.0063568
                     95,                0.60624,                0.58304,                 1.0639,                0.92401,                0.87588,                 0.9342,                0.81607,                0.46313,                0.35978,                0.97224,              0.0063172,              0.0063172,              0.0063172
                     96,                0.60536,                0.57647,                 1.0632,                0.92489,                 0.8764,                0.93423,                0.81805,                0.46263,                0.35929,                0.97189,              0.0062776,              0.0062776,              0.0062776
                     97,                0.60774,                0.58094,                 1.0645,                0.92497,                0.87729,                0.93457,                0.81817,                0.46221,                0.35864,                0.97126,               0.006238,               0.006238,               0.006238
                     98,                0.60681,                0.58192,                 1.0651,                0.92354,                0.87758,                0.93488,                0.81822,                0.46197,                0.35873,                0.97109,              0.0061984,              0.0061984,              0.0061984
                     99,                0.60375,                0.57727,                 1.0627,                0.92449,                0.87721,                0.93478,                0.81874,                0.46201,                 0.3586,                0.97121,              0.0061588,              0.0061588,              0.0061588
                    100,                0.60157,                0.57393,                 1.0614,                0.92606,                0.87526,                0.93501,                 0.8184,                0.46171,                0.35872,                0.97071,              0.0061192,              0.0061192,              0.0061192
                    101,                0.60441,                0.56941,                 1.0632,                0.92534,                0.87651,                0.93484,                0.81802,                0.46131,                0.35798,                0.97029,              0.0060796,              0.0060796,              0.0060796
                    102,                0.60536,                 0.5732,                  1.063,                0.92587,                0.87676,                0.93495,                0.81835,                0.46092,                0.35784,                 0.9699,                0.00604,                0.00604,                0.00604
